variable_id,mz,rt,isotope.dist,M62,M61,M63,M64,M65,A306,A309,A325,A328,A331,A339,A323,A326,A340,A315,A21,A22,A23,A25,A26,A24
1.41_78.9196m/z,78.91957904,1.414416667,100,0,227.2296223,205.5644861,0,505.2153832,44.79182158,41.78134651,64.18827775,39.88230997,48.77714696,42.05605446,0,50.16622869,174.5298204,298.764254,14.37644437,6.144476143,23.75331759,9.665482834,7.378219597,74.80223585
1.09_799.5492m/z,799.549243,1.087066667,100 - 1.54,27.05999434,1219.804822,828.9343386,1658.420086,1294.075516,747.12932,954.0053893,777.1160136,808.5118458,785.832705,999.2963654,66.07849877,828.9020114,1006.054607,2921.762992,1462.758606,889.9544874,901.7038516,1945.268521,1404.216212,1773.621039
1.29_277.3848m/z,277.3848298,1.2937,100 - 26.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.23_265.5931m/z,265.5931265,1.229433333,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.34_247.2120m/z,247.2119697,1.33655,100 - 10.2,0,0.889774298,1.292517925,1.063340299,4.54390927,0,0.499263612,1.187349413,0,2.353067029,0.495067804,0,5.38580444,2.092159774,29.78222291,1.592544492,0.338439573,1.995238423,0.812462911,1.418682153,3.343953393
1.16_402.7846m/z,402.7846325,1.158716667,100 - 74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.946136414,0,0,0,0
1.79_233.5327m/z,233.5327496,1.791516667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.32_555.2859m/z,555.2858636,2.317983333,100 - 27.2 - 15.6,0,0,0,5532.727792,0,0,0,0,0,0,0,108.5661839,0,0,0,0,0,0,0,0,0
1.16_401.6500m/z,401.6499654,1.158716667,69.4 - 100,0,0,0,0,1.221137632,0,0,0,0,0,0,0,0,0,0,0,0.004473703,0,0,0,0
1.08_858.5966m/z,858.5965594,1.079916667,100 - 65.6 - 35 - 12.5,0,35396.04241,23808.57356,60931.6869,48408.80844,11150.08862,14451.88593,13577.31207,20027.41097,18426.89561,19931.64127,0,26955.99125,37428.12831,76553.76159,48015.42561,20961.31998,24405.74689,53536.57899,36439.6609,50180.3174
