variable_id,mz,rt,isotope.dist,P201,P203,P204,P205,P208,P209,P210,P202,P206,P207,P11,P12,P13,P16,P19,P20,P14,P15,P18,M70,M66,M67,M68,M69
1.98_619.3104m/z,619.310425,1.98375,100 - 30.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420.926252,2.284924446,0,0,0,0,0,0
2.08_405.2706m/z,405.2705988,2.083033333,100 - 37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099.889896,0,0,0,0,0,0
0.99_754.4771m/z,754.4770964,0.987783333,92.3 - 100 - 67.3,2617.675656,5342.132545,3540.524042,4484.352931,3786.643409,3363.099744,3222.868566,4035.489837,5200.531974,4350.892054,4415.431344,6180.162309,6561.881474,6550.906954,4709.23554,7853.067455,0,5019.972249,6765.292908,3463.036768,5137.529287,4727.808125,6589.714415,7526.480962
1.91_255.3151m/z,255.3150969,1.9052,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.34_247.2965m/z,247.2964531,1.33655,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.99_680.5488m/z,680.5487673,0.994933333,100 - 0.0655,139.4961351,281.2776053,281.5044224,279.1524201,193.6156761,232.6072753,181.7373567,249.2548106,321.5327999,255.5164416,237.2527496,160.772341,198.5991704,261.3935011,250.3072642,611.1235562,0.392630322,237.5283714,95.5506329,202.3641723,410.5781031,323.2290439,499.9519203,427.7016001
1.29_582.3701m/z,582.3701397,1.2937,100 - 89.4 - 42,2361.022584,1485.167894,1046.516514,2160.183147,1611.284295,3489.851237,1214.216625,1825.626039,3320.439842,4184.989654,2147.383603,1821.139002,1848.641571,2514.033199,2419.13177,2186.853511,8202.388642,3810.717743,4293.571658,1168.21903,3424.700035,2870.563734,1434.982684,3883.11731
1.09_355.2647m/z,355.2647138,1.087066667,100 - 28.1,1295.687608,828.4279282,658.7858715,834.5918815,790.5164146,1340.031041,793.3410629,991.839021,1013.948334,1394.023048,780.0567007,910.2077675,833.8371432,1124.679762,1168.587213,1460.062623,0,1846.495192,2089.848179,910.7843266,1463.180095,957.1681196,1178.556486,955.7268677
0.99_742.4497m/z,742.449712,0.987783333,100 - 0.0977,1412.225719,3092.780975,2634.713531,2169.19005,1566.44537,1577.006529,1509.449451,1680.419466,2339.605206,4243.169171,2805.930757,2827.480139,2351.028123,2884.070033,2075.821406,2842.159906,0,3368.637914,3869.660352,2986.632421,2966.783916,4214.256553,3615.264028,4043.37784
1.96_254.1624m/z,254.1624174,1.955183333,100 - 7.91,2.378589475,0,0,0,0.032557697,0,0,0,0,0,0.558990928,5.405466387,2.724705743,0,0,0.008389579,131.6776732,2.827586906,0,0,0,0,0,0
5.73_187.1083m/z,187.1083395,5.725,100 - 6.89,0,2.122911166,0,5.158661837,6.84219082,0,0,5.986882753,10.06413754,0,2.905189718,5.927859839,5.811109727,0,0,0,50.51210298,159.4747832,24.31762013,0,0,20.31640793,73.51548449,7.800690923
1.93_302.1733m/z,302.1732566,1.933766667,100 - 74 - 68.5 - 54.5,4.329053428,0.502512079,0.349841503,0.059293667,2.598787612,3.239144352,3.430610402,0.113633142,0,0.538986642,1.061829291,0.147349871,18.44955672,2.17259725,1.105881471,5.511136862,400.5375281,194.1591877,12.69103358,3.102719319,0,0.821424623,4.370234389,0
1.71_658.2768m/z,658.2767692,1.712966667,100 - 35.9,0,0,0,0,0,0,0,0,0,7.528944355,0,0,0,0,0,0,881.1317164,7.142803571,0,0,15.77319293,0,0,16.69043398
5.72_546.0296n,545.0222893,5.717866667,100 - 14.2,570.5696483,829.0300146,968.1526666,622.1029617,717.2417027,837.0243191,949.1778873,424.8422089,293.9417255,332.7819974,800.2919372,861.5023789,472.134403,783.8994888,833.3602392,810.5320173,446.7979502,845.4469695,216.7751487,1013.697529,353.2932305,460.2707995,938.4113455,364.7412416
2.10_201.1494m/z,201.1494253,2.097316667,100 - 8.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.120322857,540.3499434,0,0,0,0,0,0
0.99_786.4757m/z,786.4757491,0.987783333,76.1 - 100 - 86.7 - 77.2,8673.781326,14745.5883,17980.91467,13204.20927,11005.05174,9528.491328,10100.58212,17028.2907,19220.70642,18899.56051,13595.19396,14333.18414,14929.4227,16541.14031,12133.20152,17089.17455,0,19620.18491,20779.17159,11394.03377,19019.87273,19944.1109,19450.35419,20203.73781
0.99_954.6562m/z,954.656207,0.987783333,100 - 85.4 - 58.2 - 50.3 - 47.6 - 47.9 - 58.7 - 62.8 - 58.6 - 65.5,5725.855796,8014.189585,9325.489809,10061.58344,9219.852113,6177.238669,7445.381834,12206.25525,14862.15481,11678.92483,9611.145979,10431.30461,11756.32638,11526.77784,8621.836977,10468.39708,0,14300.8415,15742.25273,7476.312412,14175.46715,13927.31176,16189.98045,17448.86837
1.11_507.4345m/z,507.4344811,1.108716667,100 - 35.5,128.1095202,102.2958791,102.9952418,178.0233879,154.6112265,164.6563107,130.761804,203.399183,225.4586549,243.7023285,155.5335994,199.3602442,205.0021674,313.2327553,268.7286031,252.7832249,0,257.9686429,243.9754278,230.2353227,220.765758,181.9348382,260.4506279,300.8868736
2.32_281.1749m/z,281.1748908,2.317983333,100 - 25,0,0.005287168,0,0,0,0,0,0.009814777,0,0,0.00609078,0,0,0,0.007976198,0,27.84251707,0.000108075,0,0.12493025,0,0,0.005781469,0
1.16_427.5201m/z,427.520081,1.158716667,100 - 5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04_253.0915m/z,253.0914516,1.037066667,100 - 0.0648,120.1998294,152.868936,156.9785235,147.0578488,167.6951086,107.851531,136.3057205,261.1060766,392.9505192,303.229942,196.11326,240.9208106,250.0827442,188.6582802,243.1285795,192.3274069,3.970613001,987.9736648,739.3443613,213.256272,611.3131875,501.2392939,818.7014836,761.3196941
2.35_608.2851m/z,608.2850984,2.3537,100 - 40.6,0,0,0,0,3.880332701,0,0,0,0,0,0,0,18.17707908,0,0,0,0,0,0,0,0,0,0,0
1.24_311.3471m/z,311.3470731,1.243716667,100 - 32.4,0,0,0.024071353,0.172710767,0,0,0.097888188,0.0054892,0.256426535,0,0.022431805,0.047021955,0.047991595,0,0.024991774,0,0,0.115683456,0.208961771,0,0,0.039169798,0,0
1.73_859.2941n,894.2635045,1.72725,100 - 41.6,1.494851886,4.372969496,2.339354582,0.48504865,0.591892366,0.546925154,4.455425907,0.085929376,0,0,1.132437628,1.071371129,0.36663572,0.773430415,0.018480099,0.091030407,0,0,0.037006095,2.233858255,0.088110057,0,0.043291408,0
0.97_622.4844n,657.4538479,0.9735,100 - 56.4 - 19.1,3335.373186,7885.517296,6901.189394,8888.609334,5752.542693,5335.884224,4504.0719,5557.074484,8005.775175,6009.813983,5630.310523,12214.02584,6289.881729,10747.89508,6191.013198,13923.54966,0,7946.295338,8800.656737,5899.531363,9884.082288,9923.146675,11149.05306,12896.59836
5.33_739.9037n,774.8731282,5.3272,100 - 32.1 - 8.55,42.35047811,2121.765868,1647.669389,928.2786452,1520.395808,2995.460737,2352.40027,191.839306,162.028355,160.25578,1728.666809,2553.074646,36.13759429,2998.414587,2443.098508,2338.098463,34.63691782,2745.55813,75.61620408,1577.869669,391.1541642,146.4003529,1754.434639,266.6937983
0.98_656.5098n,637.4689527,0.98065,100 - 62.6 - 24.1 - 17.9,8307.275654,12274.6316,12607.1482,16101.22754,14714.7998,11912.76695,10104.14835,11017.79844,15611.60968,12374.92025,11413.08419,17031.8948,12125.20108,16241.26077,11793.54563,27467.80544,0,18295.58994,15700.79182,12729.36622,19071.69108,14909.63664,19930.86573,19374.46769
0.97_662.4930n,661.4857178,0.9735,100 - 51.8 - 40 - 32.9,1639.270805,8055.977164,3037.909013,6485.515666,3709.646035,3583.294301,2761.509271,2905.316642,5926.736727,3380.72891,2908.869102,7102.655047,3042.89498,8619.741013,4277.873934,16365.75811,0,4061.643244,5949.36562,3212.866578,5063.930848,4700.824491,6504.080909,6149.550037
1.77_921.5386m/z,921.5386043,1.7701,100 - 40.4,926.5729595,1091.892836,913.6159732,882.9496538,926.2767944,691.0074997,1164.849324,1055.432962,1354.854678,626.8922762,952.5118491,974.856796,1263.954229,921.0868443,912.993555,872.7552396,595.5960418,0,603.6126532,924.1969223,841.9203722,624.0262296,1117.313584,1383.419242
1.16_427.6123m/z,427.6122853,1.158716667,100 - 38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.09_745.4976m/z,745.4976077,1.087066667,100 - 96.4 - 84.9,800.5715057,1354.889929,847.2467777,1130.126387,891.1828727,771.7487522,842.4303677,1221.67588,1422.974657,1182.660485,1056.44602,1164.493915,1223.772198,1480.910724,1214.866124,2664.54164,0,2205.404483,3266.851706,790.0552525,1349.238912,1270.309837,1142.022917,1307.646066
1.78_401.2922m/z,401.2921761,1.784383333,100 - 20.2,5.862659011,5.975846672,4.013730548,10.24167063,3.948059996,17.35060047,1.869593765,0,0,6.25270175,6.07509676,9.306138354,8.154106666,2.047395838,4.351381961,7.141825722,89.47549977,1.853142936,20.96601909,8.127674623,0,0,6.902154395,0
1.78_988.5388m/z,988.5387887,1.777233333,100 - 43.9,385.9426155,342.588879,367.1230127,300.9082059,341.0762364,328.2276923,471.4069095,310.6507428,206.0439477,275.397683,297.6736673,389.5940886,389.1103126,209.33854,212.5679252,216.3457627,43.81204402,0,222.8576397,284.2762229,255.7802035,201.3101427,350.227258,246.4549904
1.05_456.3796n,493.2893127,1.051366667,100 - 48.3 - 51.1 - 32.3,4527.267416,4801.782521,5316.625153,3985.923867,4878.527487,3902.455506,4492.955837,4991.019813,5412.597385,6723.577219,5465.148945,4897.856134,4991.197061,5180.850475,4593.603126,6519.364751,0,7752.567876,9133.775579,4301.94766,6158.141161,6422.568118,6106.916786,6734.693203
5.71_628.0393n,627.0320055,5.710716667,100 - 25.1 - 1.82,1038.908475,1321.712381,1757.002006,963.5413567,1250.341262,1306.339608,1671.600274,619.9257865,363.7325148,373.8350181,1284.333476,1342.457963,886.0017067,1379.424656,1434.666385,1399.51805,823.6887233,1468.043991,143.4477729,1553.358909,345.9526262,355.859073,1376.938393,304.8484991
5.09_450.0559n,485.0458455,5.09205,100 - 50.5 - 53.9 - 19.7 - 5.78,6080.767998,33463.68609,25765.60611,5348.73543,7975.999431,18183.00072,13381.08181,16457.99803,15211.49599,19930.57166,7302.515361,21842.94034,4147.483937,22243.6675,17917.18778,21428.90227,6675.065025,17963.83262,14678.16651,9193.699678,33035.43047,21006.12145,36365.81055,22687.93679
1.34_247.5613m/z,247.5612578,1.33655,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.77_761.5089m/z,761.5089127,1.7701,100 - 68.6,613.502268,793.1627678,551.5527437,520.4885596,525.48181,446.5176446,800.5821906,345.8294749,499.2789082,478.9188016,595.0806829,577.533168,660.7036863,601.0017639,583.96822,553.219043,3043.782166,82.14341873,418.4618868,573.8136584,238.1143461,246.2474067,318.4674614,546.3198463
0.97_731.4958m/z,731.4958104,0.9735,100 - 42.1 - 55.1 - 25.7,979.2342272,5446.259532,1384.085083,5688.160375,1596.077069,2717.818093,1414.794847,1166.305419,2163.064898,1193.97697,2058.385145,3986.065593,1876.163054,6791.441709,3594.535821,16680.57894,0,1820.331591,5574.266351,1471.955408,2092.073668,2320.628078,2693.541553,2720.736396
5.41_294.0298n,329.0206828,5.40505,100 - 35.3 - 39.1 - 9.22,1312.278061,20310.24928,19177.76866,2811.544803,4427.465276,11630.25352,9351.959166,1931.548918,2284.774654,2605.294569,6450.02365,16040.89608,1094.585347,15485.15398,12751.94812,15584.55785,1168.457107,5042.278609,2900.353858,8919.717107,5008.820437,3801.145443,10632.74585,3274.560139
1.93_365.3840m/z,365.3839555,1.926616667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.08_333.1091m/z,333.1090686,2.083033333,100 - 43.4,1.559562828,0.301084572,0.160882386,0.413783939,0.446275543,1.698931305,0.866493472,0.10922312,0.027591224,0,0.657911661,0.312502632,0.557074508,0,0.465786314,0.061617879,68.7842242,1106.023177,0.16143815,0.534629384,0.247325091,0,0.131762982,0.0102605
2.31_167.1170m/z,167.1170331,2.31085,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
