variable_id,mz,rt,isotope.dist,M62,M61,M63,M64,M65,A306,A309,A325,A328,A331,A339,A323,A326,A340,A315,A21,A22,A23,A25,A26,A24
9.05_410.1222m/z,410.1221712,9.054416667,100 - 18.7 - 2.31,0,188.0239155,242.8506735,0,84.16561682,474.4491906,282.0994193,1595.40099,3082.024564,37.40356279,12.71659773,160.8559757,2770.951489,172.9240409,0,0.834902096,23.93005674,240.6545599,16.42620904,3.520372009,0
0.17_554.1801m/z,554.1800872,0.16965,100 - 68.7 - 35.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986.4972308,173.2555435,0
9.27_565.1749m/z,565.174874,9.26795,100 - 25.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.40_262.2504m/z,262.2504118,0.4041,100 - 39 - 6.04,73.05308172,119.0670392,156.1385597,51.70910106,35.1325081,6066.193848,38.37080964,58.81326196,9311.38249,4269.797263,39.97127293,71.35390243,429.9731986,47.08124862,24.99935677,31.90914301,20236.92163,174.2416177,13578.55659,10092.47849,37.92850897
0.99_485.4172m/z,485.4172007,0.987833333,100 - 57.4,16569.53761,8789.9708,359.4516462,18747.09564,270.9426256,11.40964003,238.9916602,186.7944341,30.12171945,58.88438086,409.3307939,500.0945885,16985.31375,574.2055965,112.856949,9880.569098,110.0540048,1871.052156,54.82268611,26.63920871,7680.251711
1.01_390.2022m/z,390.20222,1.0094,100 - 52.5,616.1777306,657.1363544,752.4747317,283.7378173,1294.612418,174.8721105,143.3328278,612.6112748,90.04134736,327.5723909,670.9235416,3704.147153,5.819908616,734.8725472,0,116.918625,140.4851718,0,178.9477986,59.26999885,412.7177699
2.74_417.2596m/z,417.2596408,2.7448,71.1 - 100,190.6093782,326.9184531,286.5924357,237.0046687,24.76661483,124.2309783,0,187.3763348,261.1119094,65.04655648,224.2677126,321.4065364,967.6841712,289.2408935,554.3454628,168.1728395,340.1216721,216.37878,257.755087,389.481258,107.0448943
5.10_637.7877n,676.8007169,5.099366667,100 - 13.7 - 7.13,1342.750956,489.0170799,710.2638191,725.9063641,391.068082,120.2647023,14.40391716,78.76430398,102.5303434,280.5558626,45.9375457,499.6677714,296.794227,578.012713,48.83676879,33.42294806,57.87690523,5.364311149,58.38128343,124.3740188,628.5085887
9.76_233.1846m/z,233.1846049,9.7589,100 - 21.2,72.67925039,126.9864162,127.8259181,55.96842826,18.53047609,403.981102,408.1012419,315.4019196,286.492592,371.3531323,358.0384725,92.18342136,191.857577,63.05641835,8.21317587,361.3241517,431.7792717,371.8927781,459.8920672,399.9958675,22.28389749
1.28_413.3721m/z,413.3721084,1.279566667,100 - 22.3,58149.19023,29255.77065,6850.242002,36965.51799,4075.695859,16.39736326,2344.669512,1414.532382,0.503419519,29.15355253,1999.565546,2712.519943,19393.73038,2888.622226,15021.15006,31233.27563,21.51888088,13104.26965,37.49147249,3653.573732,27133.30718
1.76_781.5686n,782.575922,1.755983333,100 - 56,46616.62517,50728.50511,32011.8509,40525.55321,33437.24356,315.3947845,45695.81991,552.7245851,0,526.2247863,31386.11086,38503.57954,9348.97072,42846.25935,43741.83176,49950.73622,2458.569736,2344.003112,106.4776313,1094.288099,53941.24362
5.46_758.9836m/z,758.983589,5.455033333,100 - 28.8 - 48.6 - 9.47,1042.6657,1062.8021,1202.474269,1089.928093,1196.354342,2380.087075,1442.322791,1499.857668,1724.870366,1761.716906,1072.276243,1496.85793,988.0027015,1144.270446,923.7483418,1174.526427,2415.470026,1312.8526,1808.74055,2209.445452,1023.030443
5.45_526.9895m/z,526.9895118,5.447883333,100 - 20.9 - 11.9,2923.619592,2587.479954,3014.63603,2433.717083,2469.75977,6496.503026,3629.594506,3825.648256,4865.025429,3994.912753,2642.134719,3828.054063,2991.24952,2650.804705,1531.261669,3018.102705,6078.834952,3688.438217,4389.612395,5629.43911,2125.943644
9.39_556.2770m/z,556.2770171,9.38865,100 - 35.3,0,0,0,88.76618215,101.8449244,0,0,0,0,0,0,0,0,25.0787196,95.72988575,0,0,0,0,0,100.5093565
0.29_474.3945m/z,474.3945015,0.29035,87 - 100,10.20692232,3.752660454,10.03053263,4.716934518,0,0,0,0,0,12.31586526,0,8.56106099,44.21647848,0,28.44417698,0,16332.04174,16.58137661,18208.27753,19313.08061,0
