variable_id,mz,rt,isotope.dist,P201,P203,P204,P205,P208,P209,P210,P202,P206,P207,P11,P12,P13,P16,P19,P20,P14,P15,P18,M70,M66,M67,M68,M69
19.13_130.1592m/z,130.1592265,19.12786667,100 - 3.61,616.6771511,668.8580889,490.5759862,723.9320648,516.3510734,555.4519835,714.5787567,4859.3262,4923.614507,4193.102729,582.5957214,665.7587662,564.3266989,716.2904763,613.0260118,663.6396263,3403.084294,3220.182663,3552.0786,5956.647606,3637.214773,3460.596953,3337.10917,4084.295014
3.95_125.1070m/z,125.107021,3.94735,100 - 7.55,55.82349213,22.35351565,8.155444048,3.394425944,5.856975105,5.717484989,12.14558858,0,1.116349369,0.366152348,0.598144531,16.86636676,26.47288434,2.615710578,8.770611128,6.865876697,0.694600466,0,0,11.7906287,0,0.033252126,0,0.292239873
8.63_338.0919m/z,338.0918508,8.634983333,100 - 14.4 - 3.83,341.5214338,15.54600345,25.63115665,34.50112721,45.31875904,383.6226644,199.3279547,34.00437801,13.06979478,8.978299399,350.4159397,82.00195715,741.3526822,596.1061106,512.2689424,493.9218578,93.18841226,380.5930985,69.55458892,21.17302169,51.90313321,1.237880324,51.17975788,47.95121161
5.86_280.1214m/z,280.1214387,5.860866667,100 - 20.3 - 3.43,3074.052809,773.5722162,1296.441223,3441.432156,2908.451016,3125.67828,2824.310955,581.1356193,837.2400807,573.1880867,9749.947542,2395.840065,4237.608038,5217.184966,4387.333439,6041.169001,981.7565648,1649.335584,1515.861285,2146.158459,735.9502478,1748.811081,663.2961802,986.9418948
17.06_594.9970m/z,594.9969875,17.05773333,100 - 67.6 - 83.4 - 49,3428.38123,0,0,0,3133.266896,0,5837.000321,5389.967423,0,11276.93055,0,0,0,0,0,0,1169.33541,4852.044712,0,7152.598135,4309.432482,0,3099.295156,384.1624179
0.30_412.2852m/z,412.2852084,0.304633333,100 - 6.57,388.0711168,973.974665,157.4841521,86.71218402,0,287.087166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.38_371.3600n,394.34921,0.375333333,100 - 76.7 - 37 - 15.8,99722.04655,118992.1333,122123.6595,56523.18486,145984.0265,87053.62407,32.75184608,6.877532959,52.25106806,47.09132109,142199.0723,12.50421143,412.2882587,30.1806042,13.90267944,6.499145508,172.3384701,12.82894909,5.781326294,49.28033483,37.80825806,20.14324951,16.60064697,21.50399774
1.04_174.1395n,371.2870943,1.037266667,100 - 54.9 - 25.2 - 11,3955.254478,3475.693343,6476.496571,6054.714007,4691.883665,5035.36276,9235.485007,10235.87389,10037.20034,11943.7876,6892.165915,17144.17486,14893.84078,9965.249262,11624.43291,12136.23266,11974.28411,9245.458234,13269.70169,18052.994,12550.15473,10636.76107,13996.79276,13357.32118
0.32_416.3628n,417.3701086,0.318916667,100 - 51 - 4.38,5696.97458,16152.33283,15028.50362,5284.266045,18312.62587,10997.43845,0,2.034601722,0.570581884,0,22627.6618,0,11.83919965,0,0,0,0,0,0,0,0,0,0,0
1.81_169.1698m/z,169.1698153,1.805966667,100,0,0,0,0,0.040008042,0,0,0.020949095,0,0,0,0,0,0,0,0,0.013847222,0.017898349,0.053250043,0,0,0,0,0.003337126
0.99_994.0134m/z,994.013357,0.994983333,100 - 5.17,0,0,0,0,0,0,32.4497465,44.51684708,59.01702881,42.53090543,0,238.7421339,138.8001999,0,0,92.08413792,198.8452205,163.5198262,332.9603797,111.6704083,0,94.08157448,0,34.02099609
12.00_668.2018m/z,668.2018286,11.99995,100 - 28.9 - 5.72,82.03982585,0,0,0,0,0,0,0,0,3.605163693,45.38096447,0,0,39.07788245,0,0,0,0,3.064056396,0,0,0,0,0
0.38_424.3624m/z,424.3624443,0.382483333,100 - 63.1 - 31,23163.98823,23396.18848,54758.47107,17142.96058,55897.23265,15115.07193,101.2576512,21.85902417,65.18154914,80.35757397,67618.39215,45.12459615,342.7646511,122.7236132,50.1693945,60.71122471,108.0226175,40.90752276,49.53673221,50.63250763,71.35574789,31.51475064,28.24221808,60.95758771
3.18_437.6349m/z,437.6348946,3.179333333,100 - 63.9,0.730524195,0,0.021054028,3.060945583,6.142852163,0,617.766554,3.981053392,140.6869627,3.961982082,5.236834704,0.286731738,6.999818497,3.795715908,880.1519399,6.539199878,9.796821693,202.3239434,3.082900401,2.845385506,0,21.29302128,106.5836689,1422.083208
7.62_333.3949m/z,333.394878,7.62475,100 - 14.3,180.0452728,0,0,0,456.7035232,27.95459882,0,0,0,61.39111376,654.3213569,0,775.178287,62.0292654,469.9149277,43.03779658,0,0,0,223.6024475,0,0,76.21933696,0
